Trade date,Information,Debit,Credit,Value date,Balance,Trade time,Booking
30.04.2018,Balance of service prices Invoice no.,,,30.04.2018,,30.04.2018,
16.04.2018,UBS Investment Funds B 16.04.2018 UBS LMMF USD PC,30498.23,,19.04.2018,,19.04.2018,
